delta,size
78030672,45.514222
11899607,261.21268
23799511,27.017171
10208391,66.287606
17846419,358.106072
6309723,495.875647
3275686,3933.927716
22533637,96.329571
12628542,31.600555
25243461,285.063505
30311686,27.126
35821705,54.320369
8233696,16.424889
7797872,67.508
13492033,58.213069
17861588,28.849109
12201473,92.795751
6066575,56.881302
32961466,76.456805
20471780,259.898225
10945036,133.305
8281847,119.134218
6239137,811.732425
33908017,50.895
15972970,151.92737
29803641,36
6071953,56.290168
34205689,46.231427
51154536,26.942257
21405289,78.708588
6746461,1297.47957
17265921,88.96815
3215670,5125.259355
16699542,33.464281
19290299,130.508487
42911309,19.802138
57422494,49.581664
16663671,104.71085
21150577,86.652
87400059,28.166416
5802793,369.875
9578214,148.345938
8483438,177.835981
18638241,58.895274
18365691,55.411145
21863880,57.782284
22041401,135.228609
6059884,1253.622
9696830,41.963643
18318909,131.719683
15853058,74.916082
4767036,99.260174
6431473,39.453121
19534677,34.114523
11102307,55.206
10970630,175.571544
21518302,207.970601
116848932,24.92519
9684192,70.86307
19120464,77.546018
2949719,4757.594343
24422478,301.256774
4174768,8999.792999
8007557,141.704803
11979145,222.236103
8418190,149.788
7756108,157.745951
30457764,66.377965
8054846,163.796453
6983332,2236.124027
14057414,50
8539640,90.960884
17947677,72.179672
15598084,28.78777
4973172,5029.191683
159863914,9.541123
39122141,53.743487
15156832,165.042095
53548450,26.139
7752050,78.026
42157131,42.913
3989250,3299.863
5625092,174.700079
13247678,94.097647
71542722,34.761325
15218478,88.403934
74806416,33.747225
8224708,80.613193
80271045,34.617339
15563289,31.705511
3177047,7806.676393
3732322,7250.101118
36115445,100
28760274,170.868051
23841502,34.742
5096470,155.173345
34223837,30.685
40550772,32.670162
7476275,242.290512
11939939,21.191992
68983169,23.873159
8266313,67.36017
12726466,61.405064
6383790,107.699359
102292784,28.054677
43758430,29.56024
23433142,19.999999
46145882,76.5
6378054,169.010112
41060870,35.57
7672466,103.042446
157315868,21.161312
9751647,18991.17676
10523254,53.719082
60932084,56.056402
10501595,26.692904
34217336,84.429
151252308,21.590905
36413225,23.46113
7320239,109.315956
6609533,27.004626
11077815,53.984765
8046471,102.997
9587846,643.851753
40788160,59.919633
78016584,26.40546
13492491,112.196055
8497235,786.651
39829104,71.987909
43105445,27.261922
25602144,101.109133
34219676,175.408225
5866310,106.030489
22224848,52.214519
41362733,29.638475
6123582,44.668234
15070858,52.421774
8788404,44.765
45578837,44.902603
36556198,51.741
19400028,77.716487
65102818,85.945724
6500462,74.724
9677421,115.756591
14995560,47.869088
53815795,47.468022
7700196,145.77673
17784248,71.171271
13362833,180.885903
11470968,92.301984
12411705,148.886
34879862,32.736
5011855,4479.767506
7519633,52.505421
4386924,4113.582796
11208410,19.542303
21227113,37.077178
24952757,108.608566
6651899,134.661
37579366,42
24776252,9.999999
23332763,68.004447
7475470,107.923109
105238817,27.6922
33315196,88.177319
25798305,19.999999
4041760,5179.739957
5824533,4477.601819
65162535,17.309114
34557580,37.938931
13443161,86.366283
4950963,3247.788145
7996574,48.153
4731021,9497.864
29750056,36
42503185,24.317
136652273,23.16919
7742435,54.122335
13331964,64.096168
32459444,74.372458
3780507,1580.32594
19702899,103.552
6527294,81.321678
24930266,49.087342
6517128,2236.884011
78748619,44.080001
27278277,30
14827685,33.291902
26769589,86.994343
27094268,67.843239
16006517,14.999999
11569418,107.358542
41448180,28.267456
27722097,25
13329435,33.473061
11319011,96.107549
4634438,4043.523931
34582129,141.598769
34945170,30.699271
24045694,44.718981
40040746,58.017443
5942911,1623.775884
23619943,90.06431
6796867,334.731067
19219739,100.755799
13712947,93.902612
62501720,17.42
77860008,61.678323
30400846,50.497333
7988453,329.315757
11406550,33.817416
108241821,32.108
5037722,3165.821
20115796,54.817
14807163,40.868884
51050054,46.060503
102162433,63.9092
11777193,94.084017
7815859,100
15854039,46.465506
33852333,47.061
18862488,48.031984
5607870,5570.179688
32672555,50
6473884,83.907126
4914774,789.295
10403892,68.206916
13166954,111.886832
4208084,4716.127935
10989168,52.502447
5859521,103.951
42222056,87.203
27241258,35
